baseline,held_out_season,races,average_spearman_correlation,average_mean_absolute_position_error,average_kendall_correlation,winner_accuracy,average_top_three_overlap
constructor_teammate_recent_5,2026,11,0.540885991478877,4.363636363636363,0.4309327036599763,0.0,0.36363636363636365
driver_form_recent_5,2026,11,0.5335968379446641,4.545454545454546,0.40810704447068086,0.09090909090909091,0.2727272727272727
constructor_teammate_recent_10,2026,11,0.514193316564858,4.545454545454546,0.40495867768595045,0.0,0.2727272727272727
driver_form_recent_10,2026,11,0.4966377496021765,4.743801652892562,0.3726879181424636,0.0,0.3333333333333333
constructor_teammate_unweighted,2026,11,0.4329859863456701,5.3884297520661155,0.3105076741440378,0.0,0.2424242424242424
constructor_teammate_season_weighted,2026,11,0.42569683281145737,5.214876033057852,0.31050767414403774,0.09090909090909091,0.2727272727272727
previous_race_order,2026,11,0.39962014270314666,5.049586776859504,0.3034238488783943,0.36363636363636365,0.4242424242424242
driver_form_season_weighted,2026,11,0.3933576305117807,5.603305785123967,0.2695789059425423,0.0,0.2424242424242424
driver_form_unweighted,2026,11,0.3874031107232688,5.578512396694214,0.26406926406926406,0.0,0.3333333333333333
