outcome,raw_brier,sigmoid_grouped_cv_brier,selected_c,use_calibration
win,0.022620289562289564,0.017996726201325038,10.0,True
podium,0.06992648316498316,0.07083528391529129,1.0,False
top_10,0.22922542929292927,0.1935220446610743,0.1,True
dnf,0.148322015993266,0.14546080933125058,0.1,True
